date,distance,total_time,minutes,seconds,km_per_minutes
2015-08-02,1.7,,,,
2015-08-03,1.4,,,,
2015-08-04,2.1,,,,
2015-08-06,2.38,,,,
2015-08-07,2.3,,,,
2015-08-08,3.4,,,,
2015-08-09,2.5,,,,
2015-08-10,3.36,00:28:37,28.616666666666667,1717.0,0.11741409435061152
2015-08-11,1.67,00:13:07,13.116666666666667,787.0,0.12731893265565436
2015-08-12,1.42,00:10:35,10.583333333333334,635.0,0.13417322834645667
2015-08-13,2.35,00:17:25,17.416666666666668,1045.0,0.13492822966507176
2015-08-14,0.9,00:06:16,6.266666666666667,376.0,0.14361702127659576
2015-08-14,0.9,00:06:16,6.266666666666667,376.0,0.14361702127659576
2015-08-15,1.78,,,,
2015-08-16,0.65,,,,
2015-08-17,1.34,,,,
2015-08-18,0.65,,,,
2015-08-19,1.37,,,,
2015-08-19,1.37,,,,
2015-08-20,1.37,00:09:33,9.55,573.0,0.14345549738219895
2015-08-21,1.37,00:09:24,9.4,564.0,0.14574468085106385
2015-08-22,1.37,00:09:05,9.083333333333334,545.0,0.1508256880733945
2015-08-23,1.34,,,,
2015-08-24,3.0,,,,
2015-08-25,1.37,00:08:55,8.916666666666666,535.0,0.15364485981308412
2015-08-25,1.34,,,,
2015-08-26,1.37,00:10:30,10.5,630.0,0.1304761904761905
2015-08-27,2.5,00:25:00,25.0,1500.0,0.1
2015-08-29,5.0,00:43:27,43.45,2607.0,0.11507479861910241
2015-09-02,2.0,,,,
2015-09-04,3.05,,,,
2015-09-05,3.05,00:23:50,23.833333333333332,1430.0,0.12797202797202797
2015-09-08,3.05,00:23:11,23.183333333333334,1391.0,0.13156002875629044
2015-09-10,1.37,00:08:57,8.95,537.0,0.15307262569832406
2015-09-12,3.05,00:23:46,23.766666666666666,1426.0,0.12833099579242638
2015-09-16,3.05,00:22:48,22.8,1368.0,0.1337719298245614
2015-09-17,1.5,00:11:06,11.1,666.0,0.13513513513513514
2015-09-19,1.37,00:09:45,9.75,585.0,0.14051282051282052
2015-09-21,4.03,00:30:22,30.366666666666667,1822.0,0.1327113062568606
2015-09-28,1.5,00:11:18,11.3,678.0,0.1327433628318584
2015-09-28,1.5,00:11:18,11.3,678.0,0.1327433628318584
2015-09-29,3.05,00:21:55,21.916666666666668,1315.0,0.1391634980988593
2015-10-04,4.63,00:40:00,40.0,2400.0,0.11574999999999999
2015-10-04,1.87,,,,
2015-10-04,4.08,00:33:00,33.0,1980.0,0.12363636363636364
2015-10-12,3.05,00:22:37,22.616666666666667,1357.0,0.1348563006632277
2015-10-14,1.37,00:09:05,9.083333333333334,545.0,0.1508256880733945
2015-10-18,1.5,00:09:40,9.666666666666666,580.0,0.15517241379310345
2015-10-18,1.5,,,,
2015-10-18,1.37,,,,
2015-10-20,1.37,00:08:36,8.6,516.0,0.15930232558139537
2015-10-25,2.0,,,,
2015-10-31,2.01,,,,
2015-11-02,1.37,00:08:43,8.716666666666667,523.0,0.15717017208413003
2015-11-03,5.3,00:39:26,39.43333333333333,2366.0,0.13440405748098055
2015-11-04,3.05,00:22:12,22.2,1332.0,0.13738738738738737
2015-11-07,5.63,00:49:05,49.083333333333336,2945.0,0.11470288624787775
2015-11-07,1.26,,,,
2015-11-07,1.2,,,,
2015-11-09,3.05,00:22:36,22.6,1356.0,0.13495575221238937
2015-11-10,1.5,00:09:00,9.0,540.0,0.16666666666666666
2015-11-10,1.5,00:11:33,11.55,693.0,0.12987012987012986
2015-11-10,4.0,,,,
2015-11-23,3.05,00:22:35,22.583333333333332,1355.0,0.13505535055350554
2015-11-27,1.0,,,,
2015-11-28,3.0,,,,
2015-12-09,2.93,00:25:00,25.0,1500.0,0.11720000000000001
2015-12-12,1.37,00:09:15,9.25,555.0,0.14810810810810812
2015-12-13,5.3,00:43:36,43.6,2616.0,0.12155963302752293
2015-12-13,2.21,00:18:59,18.983333333333334,1139.0,0.11641791044776119
2015-12-15,6.5,00:58:43,58.71666666666667,3523.0,0.11070110701107011
2015-12-17,12.0,01:39:00,99.0,5940.0,0.12121212121212122
2015-12-19,3.1,00:26:15,26.25,1575.0,0.1180952380952381
2015-12-20,14.8,02:15:00,135.0,8100.0,0.10962962962962963
2015-12-22,3.1,00:28:00,28.0,1680.0,0.11071428571428572
2015-12-23,5.63,00:51:50,51.833333333333336,3110.0,0.10861736334405143
2015-12-24,3.05,00:25:08,25.133333333333333,1508.0,0.12135278514588858
2015-12-25,14.8,02:20:00,140.0,8400.0,0.10571428571428572
2015-12-26,5.2,,,,
2015-12-30,3.15,00:22:10,22.166666666666668,1330.0,0.14210526315789473
2016-01-01,26.2,04:20:43,260.71666666666664,15643.0,0.10049223294764432
